"0.0000000000","-0.7705806058","2.2964827955","3.5629816129","0.4654001678","1.3351644160","0.4501411460","0.0076295109...8","0.0076295109...9","0.0076295109...10","0.0076295109...11","0.0076295109...12","0.0076295109...13","-0.3865415427","-0.0742809186","-0.9717555505","-0.0230106050","0.0919813840","-0.9241474022","0.0000610361...20","0.0000610361...21","0.0000610361...22","0.0000610361...23","0.0000610361...24","0.0000610361...25","0.1926604105","-0.1064164187","-0.0697337301","0.2308690013","-0.0705882353","0.0596627756","0.0000305180...32","0.0000305180...33","0.0000305180...34","0.0000305180...35","0.0000305180...36","0.0000305180...37","4.6301976043","0.6189059281","0.8250125887","2.4750377661","...42"
0.02,-2.2964827955,3.105210956,6.4621957733,0.4348821241,1.2588693065,0.2059967956,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3834897383,-0.0785534447,-0.946364538,-0.0199588006,0.0851453422,-0.9235370413,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1927214466,-0.1070267796,-0.0701609827,0.2322728313,-0.0705271992,0.0491645686,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.6182192721,2.9236285954,0.8250125887,2.4750377661,NA
0.04,-4.2343785763,2.2964827955,8.3085374228,0.3738460365,1.1673151751,0.3433279927,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3794613565,-0.0802624552,-0.9325703822,-0.0219119554,0.0795300221,-0.9236591135,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1925993744,-0.1075150683,-0.0698558022,0.2286106661,-0.0707713436,0.0619821469,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.4168001831,2.8625925078,0.8250125887,2.4750377661,NA
0.06,-3.547722591,1.1520561532,7.6371404593,0.4806591897,1.1673151751,0.3585870146,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3858091096,-0.0889295796,-0.9157244221,-0.0211795224,0.0824597543,-0.9245136187,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1921721218,-0.1079423209,-0.0700389105,0.2298313878,-0.0732738231,0.0513008316,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.3228046082,2.8345159075,0.8250125887,2.4750377661,NA
0.08,-0.2059967956,0.1754787518,6.6758220798,0.5416952773,1.2283512627,0.2059967956,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3904478523,-0.0764782177,-0.9115739681,-0.0224002441,0.0896620127,-0.9280537118,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.191622797,-0.1082475013,-0.0702220188,0.2352025635,-0.0724193179,0.0570382238,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2764171817,2.8198672465,0.8250125887,2.4750377661,NA
0.1,2.4795910582,-0.9384298466,6.8284122988,0.5111772335,1.1520561532,0.3738460365,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3931334401,-0.0709849699,-0.9041275654,-0.0191042954,0.0911268788,-0.9258564126,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1920500496,-0.1093461509,-0.0697947662,0.232028687,-0.0723582818,0.050202182,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2532234684,2.8137636378,0.8250125887,2.4750377661,NA
0.12,4.6158541238,-2.067597467,8.1864652476,0.3891050584,1.1978332189,0.3280689708,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3928892958,-0.0834363317,-0.9044937819,-0.0193484398,0.0817273213,-0.924757763,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1910734722,-0.1075761044,-0.0700999466,0.2295262074,-0.0744945449,0.0487373159,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2410162509,2.8101014725,0.8250125887,2.4750377661,NA
0.14,3.4866865034,-1.5487907225,11.528191043,0.3585870146,1.2130922408,0.4806591897,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3817807279,-0.0820935378,-0.9005874723,-0.0203250172,0.0813611048,-0.9271992065,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1903410391,-0.1091020066,-0.0696116579,0.2316624704,-0.0727855344,0.0533150225,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2349126421,2.807660029,0.8250125887,2.4750377661,NA
0.16,3.0594338903,0.3738460365,13.8170443275,0.4196231022,1.182574197,0.4196231022,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.383978027,-0.0945448997,-0.9352559701,-0.0200808728,0.0875867857,-0.9257343404,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1898527504,-0.1077592126,-0.0688181888,0.2295262074,-0.0703440909,0.0519722286,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2349126421,2.807660029,0.8250125887,2.4750377661,NA
0.18,-2.0981155108,-0.8163576715,13.3745326925,0.4196231022,1.3046463722,0.3433279927,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3875181201,-0.1104142824,-0.9084000916,-0.0194705119,0.0943007553,-0.9203631647,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1896696422,-0.1084916457,-0.0691844053,0.234836347,-0.0704661631,0.055024033,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2349126421,2.8064393072,0.8250125887,2.4750377661,NA
0.2,-1.4419775692,0.3433279927,11.970702678,0.4043640803,1.2130922408,0.3433279927,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.3905699245,-0.1149309529,-0.9107194629,-0.020202945,0.0863660639,-0.9269550622,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1898527504,-0.1117265583,-0.0701609827,0.2303807126,-0.0726024262,0.0628366522,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2300297551,2.8064393072,0.8250125887,2.4750377661,NA
