"0.0000000000","-1.0605020218","-6.5232318608","2.3880369268","0.5264362554","1.1215381094","0.4348821241","0.0076295109...8","0.0076295109...9","0.0076295109...10","0.0076295109...11","0.0076295109...12","0.0076295109...13","-0.4834668498","-0.0813611048","-0.8770275425","-0.0205691615","0.0872205692","-0.9231708248","0.0000610361...20","0.0000610361...21","0.0000610361...22","0.0000610361...23","0.0000610361...24","0.0000610361...25","0.1800869764","-0.1263752193","-0.0700389105","0.2284885939","-0.0731517510","0.0478217746","0.0000305180...32","0.0000305180...33","0.0000305180...34","0.0000305180...35","0.0000305180...36","0.0000305180...37","4.6301976043","0.6164644846","0.8250125887","2.4750377661","...42"
0.02,0.144960708,-5.6687266346,1.2130922408,0.5722133211,1.1978332189,0.3433279927,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4857862211,-0.0849011978,-0.8780041199,-0.0203250172,0.0868543526,-0.9248798352,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1805752651,-0.1257648585,-0.0706492714,0.2301976043,-0.0711375601,0.0461127642,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.6243228809,2.9248493172,0.8250125887,2.4750377661,NA
0.04,-1.2436102846,-3.7766079194,2.0981155108,0.5722133211,1.1062790875,0.4654001678,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4885938811,-0.0925917449,-0.8825207904,-0.0203250172,0.0867322805,-0.9251239796,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.180514229,-0.1263752193,-0.0708934157,0.232028687,-0.0715037766,0.0528267338,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.4216830701,2.8638132296,0.8250125887,2.4750377661,NA
0.06,-1.8844892042,-3.4561684596,3.0289158465,0.450141146,1.1520561532,0.5111772335,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4873731594,-0.0809948882,-0.881544213,-0.0231326772,0.0880750744,-0.9253681239,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.179781796,-0.126863508,-0.0705271992,0.2288548104,-0.0685740444,0.0685130083,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.3179217212,2.8332951858,0.8250125887,2.4750377661,NA
0.08,-1.1978332189,-4.6005951019,2.6321812772,0.5569542992,1.2436102846,0.3128099489,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4826123445,-0.0814831769,-0.8771496147,-0.0224002441,0.0895399405,-0.9246356909,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1806973373,-0.1262531472,-0.0707103075,0.2290379187,-0.0707103075,0.0504463264,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2715342947,2.8198672465,0.8250125887,2.4750377661,NA
0.1,-1.0605020218,-4.9973296712,2.6932173648,0.5111772335,1.1978332189,0.3738460365,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4852979324,-0.0846570535,-0.879468986,-0.0182497902,0.0880750744,-0.9242694743,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.180514229,-0.1263141833,-0.0701609827,0.2304417487,-0.071747921,0.0589303426,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2520027466,2.812542916,0.8250125887,2.4750377661,NA
0.12,-1.0147249561,-4.3869687953,2.7695124743,0.6942854963,1.2130922408,0.4806591897,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4855420768,-0.08502327,-0.8792248417,-0.0204470893,0.0873426413,-0.9257343404,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.180514229,-0.1263141833,-0.0701609827,0.2323338674,-0.0729076066,0.0646677348,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2458991379,2.8113221942,0.8250125887,2.4750377661,NA
0.14,0.0839246204,-4.0054932479,1.5793087663,0.6027313649,1.1978332189,0.2365148394,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4894483864,-0.0830701152,-0.8773937591,-0.0213015946,0.0867322805,-0.9223163195,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1803921569,-0.1260090028,-0.0711985962,0.2317235065,-0.0722362097,0.0528267338,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2385748074,2.8088807507,0.8250125887,2.4750377661,NA
0.16,1.0605020218,-3.3493553063,0.5111772335,0.5264362554,1.1978332189,0.4043640803,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4846875715,-0.0814831769,-0.8841077287,-0.0214236667,0.0859998474,-0.9236591135,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.181185626,-0.1249103532,-0.0715648127,0.2289768826,-0.0727855344,0.0563668269,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2324711986,2.8064393072,0.8250125887,2.4750377661,NA
0.18,0.5569542992,-4.0512703136,0.8163576715,0.3891050584,1.3199053941,0.3738460365,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4845654994,-0.0786755169,-0.8782482643,-0.022278172,0.0883192187,-0.9248798352,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1802700847,-0.1258258946,-0.0704661631,0.2311131456,-0.0705882353,0.0474555581,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2288090333,2.8052185855,0.8250125887,2.4750377661,NA
0.2,0.5722133211,-4.9057755398,0.8621347372,0.450141146,1.2588693065,0.4196231022,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,0.0076295109,-0.4824902724,-0.0766002899,-0.8714122225,-0.0184939345,0.0885633631,-0.922682536,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,6.10361e-05,0.1803311208,-0.1261921111,-0.0713817044,0.2311741817,-0.0732738231,0.0564888991,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.0518e-05,3.2288090333,2.8064393072,0.8250125887,2.4750377661,NA
