Data collection started on {09/12/2019 16:06:08.578}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.0000000000	-437.0565346761	64.1412985428	128.9158464942	0.9536888685	1.1673151751	0.4654001678	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0385137713	0.8358892195	-0.1984283207	-0.0221560998	0.0941786831	-0.9252460517	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1579308766	-0.0600900282	-0.1321736477	0.2339208057	-0.0724803540	0.0615548943	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	4.6301976043	0.6189059281	0.8250125887	2.4750377661	
0.0200000000	-498.6266880293	92.8892957961	157.6028076600	0.9842069123	1.1673151751	0.2975509270	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1116350042	0.9580834668	-0.0285038529	-0.0181277180	0.0980849928	-0.9235370413	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1595788510	-0.0437323568	-0.1336995499	0.2342870222	-0.0708323796	0.0529488060	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.6231021592	2.9248493172	0.8250125887	2.4750377661	
0.0400000000	-398.0697337301	113.5957885100	137.7813382162	1.4877546349	1.0452429999	0.3433279927	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0934462501	1.2427557794	-0.0559700923	-0.0188601511	0.0903944457	-0.9219501030	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1649500267	-0.0276798657	-0.1325398642	0.2315403983	-0.0703440909	0.0544136721	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.4241245136	2.8650339513	0.8250125887	2.4750377661	
0.0600000000	-175.4100862135	108.3466849775	108.5297932403	0.5722133211	1.0452429999	0.6790264744	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1487449454	1.2775463493	0.0040894179	-0.0186160067	0.0885633631	-0.9280537118	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1702601663	-0.0198062104	-0.1279621576	0.2309300374	-0.0722972457	0.0496528573	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.3289082170	2.8369573510	0.8250125887	2.4750377661	
0.0800000000	-30.8766308080	91.2108033875	78.9425497826	1.4572365911	1.1520561532	0.2212558175	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1587548638	1.1315480278	0.1983062486	-0.0230106050	0.0935683223	-0.9248798352	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1745937285	-0.0205996796	-0.1220416571	0.2315403983	-0.0707103075	0.0560616464	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2825207904	2.8223086900	0.8250125887	2.4750377661	
0.1000000000	-63.6987869078	78.0422674907	68.2001983673	0.6637674525	1.1825741970	0.1144426642	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2161287861	0.7407949950	0.4352483406	-0.0192263676	0.0951552605	-0.9253681239	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1782558938	-0.0227359426	-0.1178912032	0.2347142748	-0.0719920653	0.0457465476	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2593270771	2.8162050813	0.8250125887	2.4750377661	
0.1200000000	-83.0014496071	46.7765316243	54.8027771420	0.9231708248	1.0910200656	0.4348821241	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2316319524	0.8310063325	0.4114442664	-0.0206912337	0.0953994049	-0.9221942473	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1812466621	-0.0225528344	-0.1158770123	0.2318455787	-0.0731517510	0.0587472343	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2471198596	2.8113221942	0.8250125887	2.4750377661	
0.1400000000	-58.7853818570	21.0650797284	16.4415960937	0.5569542992	1.3046463722	0.5569542992	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2361486229	0.8992446784	0.3745784695	-0.0195925841	0.0894178683	-0.9228046082	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1820401312	-0.0215152209	-0.1145342184	0.2318455787	-0.0735179675	0.0539253834	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2434576944	2.8101014725	0.8250125887	2.4750377661	
0.1600000000	-23.2471198596	11.0856794079	2.1133745327	0.8926527810	1.0757610437	0.2517738613	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2435950256	0.9171892882	0.3508964675	-0.0187380789	0.0902723735	-0.9220721752	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1833218891	-0.0201724269	-0.1127641718	0.2318455787	-0.0720531014	0.0472724498	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2434576944	2.8101014725	0.8250125887	2.4750377661	
0.1800000000	17.0061799039	4.4937819486	-1.9150072480	0.7705806058	1.2130922408	0.3433279927	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2722819867	0.9209735256	0.3462577249	-0.0193484398	0.0928358892	-0.9223163195	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1838101778	-0.0205996796	-0.1134355688	0.2309910735	-0.0735790036	0.0528877699	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2410162509	2.8101014725	0.8250125887	2.4750377661	
0.2000000000	46.7307545586	-7.8965438315	-1.5487907225	0.6027313649	1.1367971313	0.2975509270	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2846112764	0.9206073091	0.3390554665	-0.0200808728	0.0946669718	-0.9246356909	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1838101778	-0.0205996796	-0.1134355688	0.2340428779	-0.0729076066	0.0480659190	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2361333639	2.8088807507	0.8250125887	2.4750377661	
0.2200000000	61.6083009079	-17.6012817578	-8.3695735103	0.5874723430	1.1978332189	0.3738460365	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2957198444	0.9433127337	0.3156176089	-0.0198367285	0.0916151675	-0.9237811856	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1825284199	-0.0231631952	-0.1122758831	0.2295262074	-0.0705882353	0.0427557794	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8076600290	0.8250125887	2.4750377661	
0.2400000000	79.3240253300	-37.5448233768	-20.0274662394	0.6027313649	1.2588693065	0.1449607080	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2831464103	0.9933623255	0.3069504845	-0.0164187076	0.0889295796	-0.9212176699	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1834439612	-0.0250553140	-0.1132524605	0.2319066148	-0.0722362097	0.0602731365	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2349126421	2.8076600290	0.8250125887	2.4750377661	
0.2600000000	116.5255207141	-51.4610513466	-23.7201495384	0.4654001678	1.1978332189	0.3585870146	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2661783780	1.0370641642	0.2860761425	-0.0181277180	0.0895399405	-0.9263447013	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1797817960	-0.0271915770	-0.1141069657	0.2279392691	-0.0732127871	0.0578316930	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2361333639	2.8088807507	0.8250125887	2.4750377661	
0.2800000000	122.5680933852	-51.6136415656	-48.5008010986	0.3128099489	1.2893873503	0.2822919051	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2428625925	1.0728313115	0.2705729763	-0.0209353780	0.0912489509	-0.9229266804	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1799649042	-0.0298771649	-0.1164263371	0.2327000839	-0.0729076066	0.0518501564	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2349126421	2.8076600290	0.8250125887	2.4750377661	
0.3000000000	139.6276798657	-68.8258182650	-55.1689936675	0.4959182116	1.2893873503	0.2822919051	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2650797284	1.0679484245	0.2355382620	-0.0216678111	0.0916151675	-0.9207293812	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1767299916	-0.0335393301	-0.1180743114	0.2294651713	-0.0737010758	0.0475165942	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8076600290	0.8250125887	2.4750377661	
0.3200000000	143.3356221866	-70.5806057832	-43.5568780041	0.2975509270	1.3046463722	0.3128099489	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.2318760967	1.0740520333	0.1498435950	-0.0200808728	0.0891737240	-0.9269550622	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1754482338	-0.0339665827	-0.1208209354	0.2323949035	-0.0723582818	0.0531319142	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2300297551	2.8064393072	0.8250125887	2.4750377661	
0.3400000000	147.4708171206	-76.7910276951	-45.2048523690	0.3433279927	1.1673151751	0.2059967956	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1930571450	1.0971236744	0.0676890211	-0.0193484398	0.0892957961	-0.9248798352	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1723964294	-0.0374456397	-0.1225909819	0.2348973831	-0.0740062562	0.0519111925	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2324711986	2.8064393072	0.8250125887	2.4750377661	
0.3600000000	167.3685816739	-85.8091096361	-59.0447852293	0.1907377737	1.2436102846	0.1754787518	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1791409171	1.0939497978	-0.0066529335	-0.0214236667	0.0929579614	-0.9274433509	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1685511559	-0.0422064546	-0.1254596780	0.2302586404	-0.0733958953	0.0519722286	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2349126421	2.8076600290	0.8250125887	2.4750377661	
0.3800000000	199.8550392920	-107.1259632258	-74.7768368048	0.5111772335	1.0605020218	0.3128099489	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1791409171	1.0939497978	-0.0066529335	-0.0249637598	0.0919813840	-0.9274433509	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1666590372	-0.0470893416	-0.1275349050	0.2334325170	-0.0718089570	0.0552071412	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2336919203	2.8076600290	0.8250125887	2.4750377661	
0.4000000000	170.8934157321	-106.0120546273	-69.1767757687	0.1754787518	1.2741283284	0.1907377737	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1400778210	1.0359655146	0.0108033875	-0.0173952850	0.0919813840	-0.9219501030	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1634851606	-0.0515449760	-0.1301594568	0.2298924239	-0.0721751736	0.0520943008	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2312504768	2.8064393072	0.8250125887	2.4750377661	
0.4200000000	113.5500114443	-84.5426108186	-49.1721980621	0.1602197299	1.1978332189	0.1754787518	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.1403219654	0.9292744335	-0.0704966812	-0.0197146563	0.0914930953	-0.9258564126	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1604333562	-0.0553292134	-0.1314412146	0.2314183261	-0.0710765240	0.0522774090	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2275883116	2.8064393072	0.8250125887	2.4750377661	
0.4400000000	78.6831464103	-71.6639963378	-41.3748378729	0.0839246204	1.2893873503	0.4196231022	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0889295796	0.8749523156	-0.1582665751	-0.0238651102	0.0913710231	-0.9232928969	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.1575036240	-0.0591744869	-0.1333943694	0.2330052644	-0.0697337301	0.0556954299	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.2312504768	2.8064393072	0.8250125887	2.4750377661	
